userId,jewelryId,rating,timestamp
1,30000184,2.5,1260759144
1,30003027,3,1260759179
1,30014968,3,1260759182
1,30015022,2,1260759185
1,30000234,4,1260759205
1,30000168,2,1260759151
1,30002919,2,1260759187
1,32200876,2,1260759148
1,30007925,3.5,1260759125
2,30000184,2,1260759131
2,30003027,2.5,1260759135
2,30014968,1,1260759203
2,30015022,4,1260759191
2,30000234,4,1260759139
2,30000168,3,1260759194
2,30002919,2,1260759198
2,32200876,2,1260759108
2,30007925,2.5,1260759113
3,30000184,1,1260759200
3,30003027,3,1260759117
3,30014968,4,835355493
3,30015022,5,835355681
3,30000234,5,835355604
3,30000168,4,835355552
3,30002919,4,835355586
3,32200876,3,835356031
3,30007925,3,835355749
4,30000184,4,835355532
4,30003027,3,835356016
4,30014968,5,835355395
4,30015022,4,835355441
4,30000234,3,835355493
4,30000168,3,835355441
4,30002919,3,835355710
4,32200876,3,835355511
4,30007925,3,835355664
5,30000184,3,835355511
5,30003027,5,835355840
5,30014968,1,835355749
5,30015022,3,835355552
5,30000234,3,835355664
5,30000168,3,835355896
5,30002919,4,835355511
5,32200876,4,835355681
5,30007925,5,835355697
6,30000184,5,835355586
6,30003027,3,835355767
6,30014968,4,835355779
6,30015022,3,835355492
6,30000234,4,835355395
6,30000168,3,835355532
6,30002919,4,835356044
6,32200876,2,835355551
6,30007925,1,835355918
7,30000184,3,835355492
7,30003027,4,835355441
7,30014968,4,835355697
7,30015022,3,835355628
7,30000234,3,835355749
7,30000168,3,835355604
7,30002919,3,835355619
7,32200876,2,835355932
7,30007925,3,835355968
